Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
2020_10_3_2;Violoncelle;Marc Coppey;William Walton;Cello Concerto, Op. 68, 1st movement;FR;Online
2021_02_16_07;Violoncelle;Frans Helmerson;Edward Elgar;Cello Concerto, Op. 85, 3rd and 4th movement;EN;Online
2023_02_14_06_1;Violoncelle;Peter BRUNS;Dmitry SCHOSTAKOVICH;Cello Sonata;Anglais;
2021_04_15_05;Violoncelle;Jens Peter Maintz;György Ligeti;Cello Sonata;EN;Online
2022_04_12_02_1;Violoncelle;Alexander Chaushian;Richard Strauss;Cello Sonata in F Major, Op. 6;EN;Online
2021_02_18_05;Violoncelle;Frans Helmerson;Sergueï Rachmaninov;Cello Sonata in G minor, Op. 19, 1st movement;EN;Online
2021_11_03_05_1;Violoncelle;Anne Gastinel;Gabriel Fauré;Cello Sonata No. 1 in D Minor, Op. 109;FR;Online
2021_02_18_06;Violoncelle;Frans Helmerson;Johannes Brahms;Cello Sonata No. 1 in E Minor,  Op. 38, 1st movement;EN;Online
2021_04_15_06;Violoncelle;Jens Peter Maintz;Johannes Brahms;Cello Sonata No. 1 in E Minor,  Op. 38, 1st movement;EN;Online
2020_10_5_3;Violoncelle;Marc Coppey;Johannes Brahms;Cello Sonata No. 1 in E Minor, Op. 38, 1st movement;FR;Online
2021_10_29_05_1;Violoncelle;Marc Coppey;Johannes Brahms;Cello Sonata No. 2 in F major, Op. 99, 1st movement;EN;Online
2021_11_04_05_1;Musique de chambre;Martin Beaver;Johannes Brahms;Cello Sonata No. 2 in F Major, Op. 99, part 1;EN;Online
2021_11_04_05_2;Musique de chambre;Martin Beaver;Johannes Brahms;Cello Sonata No. 2 in F Major, Op. 99, part 2;EN;Online
2020_10_5_5;Violoncelle;Marc Coppey;Johannes Brahms;Cello Sonata No. 2, Op. 99, 1st movement;EN;Online
2020_10_3_1;Violoncelle;Marc Coppey;Ludwig van Beethoven;Cello Sonata No. 3, Op. 69, 1st movement;FR;Online
2022_02_15_02_1;Violoncelle;Chu Yi-Bing;Ludwig van Beethoven;Cello Sonata No. 4 in C Major, Op. 102, 1st movement;EN;Online
2022_07_23_03_2;Violoncelle;Chu Yi-Bing;Ludwig van Beethoven;Cello Sonata No.1, Op.5 No.1;;En cours édito (Iris)
2023_02_08_04_1;Violoncelle;Sung-Won Yang;Felix MENDELSSOHN;Cello Sonata No.2;Anglais;Online
2023_02_13_02_1;Violoncelle;Peter BRUNS;Ludwig van BEETHOVEN;Cello Sonata No.2;Anglais;
2023_02_14_04_1;Violoncelle;Peter BRUNS;Ludwig van BEETHOVEN;Cello Sonata No.4;Anglais;
2022_02_12_01_1;Violoncelle;Clive Greensmith;Frank Bridge;Cello Sonata, H.125, 1st movement;EN;Online
2021_02_18_04;Violoncelle;Frans Helmerson;Zoltán Kodály;Cello Sonata, Op. 18, 1st movement;EN;Online
2021_04_15_07;Violoncelle;Jens Peter Maintz;Dmitri Shostakovich;Cello Sonata, Op. 40, 3rd movement;EN;Online
2020_10_3_3;Violoncelle;Marc Coppey;Zoltán Kodály;Cello Sonata, Op. 8;EN;Online
2021_02_18_02;Alto;Isabel Charisius;Johann Sebastian Bach;Cello Suite No. 2 in D Minor, Prelude;EN;Online
2021_10_29_06_1;Violoncelle;Marc Coppey;Johann Sebastian Bach;Cello Suite No. 5 in C Minor, 1st movement;EN;Online
2023_02_16_04_1;Violoncelle;Peter BRUNS;;Cello Suite No.2 in D minor;Anglais;
2023_02_13_03_1;Alto;Gérard CAUSSÉ;Johann Sebastian BACH;Cello Suite No.3 in C major;Anglais;
2022_04_07_05_2;Alto;Nathan Braude;Johann Sebastian Bach;Cello Suite No.3 in C major, BWV 1009, Allemande & Courante;EN;Online
2023_02_16_06_1;Violoncelle;Peter BRUNS;Johann Sebastian BACH;Cello Suite No.4 in E-flat major;Anglais;
2023_02_15_03_1;Alto;Gérard CAUSSÉ;Johann Sebastian BACH;Cello Suite No.5 in C minor;Anglais;
2023_02_13_04_1;Alto;Gérard CAUSSÉ;Johann Sebastian BACH;Cello Suite No.6 in D major;Anglais;
2023_02_07_03_01;Violoncelle;Sung-Won Yang;Johann Sebastian BACH;Cello Suite No.6 in D major;Anglais;Online
2022_02_07_01_1;Violoncelle;Clive Greensmith;Johann Sebastian Bach;Cello Suite No.6 in D major, BWV 1012, Part 1;EN;Online
2022_02_07_01_2;Violoncelle;Clive Greensmith;Johann Sebastian Bach;Cello Suite No.6 in D major, BWV 1012, Part 2;EN;Online
2022_11_04_06_1;Alto;Lars Anders Tomter;Johann Sebastian Bach;Cello suiteNo.3 in C major BWV 1009;EN;En cours édito (Iris)
2021_02_16_05;Violoncelle;Frans Helmerson;Sergueï Prokofiev;Cello Symphony-Concerto in E Minor, Op. 125, 2nd movement;EN;Online
2022_11_04_04_1;Alto;Lars Anders Tomter;Tomaso Antonio Vitali;Chaconne for Viola and Piano in G minor;EN;En cours édito (Iris)
2021_04_12_01;Chant;François Le Roux;Maurice Ravel;Cinq mélodies populaires grec;FR;Online
2022_08_03_01_1;Clarinette;Patrick Messina;Wolfgang Amadeus Mozart;Clarinet Concerto in A major, K.622. I Allegro;EN;Stand by
2021_04_14_01;Clarinette;Sharon Kam;Johannes Brahms;Clarinet Sonata No. 1;EN;Online
2021_04_14_02;Clarinette;Sharon Kam;Johannes Brahms;Clarinet Sonata No. 2;EN;Online
2023_02_13_05_1;Alto;Gérard CAUSSÉ;Johannes Brahms;Clarinet Sonata No.1;Anglais;
2022_10_31_06_1;Alto;Lars Anders Tomter;Johannes Brahms;Clarinet Sonata No.1;EN;En cours édito (Iris)
2022_10_31_02_1;Alto;Lars Anders Tomter;Johannes Brahms;Clarinet Sonata No.1;EN;En cours édito (Iris)
2022_10_31_05_1;Alto;Lars Anders Tomter;Johannes Brahms;Clarinet Sonata No.1;EN;En cours édito (Iris)
2023_02_15_01_1;Alto;Gérard CAUSSÉ;Johannes Brahms;Clarinet Sonata No.1;Anglais;
2022_08_03_03_1;Clarinette;Patrick Messina;Claude Debussy;Complete Score and Clarinet (B♭) Part;EN;A archiver - ne pas post-produire
2021_11_03_06_1;Violoncelle;Anne Gastinel;Karl Davydov;Concert Allegro, Op. 11;FR;Online
2021_02_09_04;Trombone;Jacques Mauger;Lars-Erik Larsson;Concertino;FR;Online
2021_10_27_02_1;Violoncelle;Marc Coppey;Antonín Dvořák;Concerto;EN;Online
2022_02_15_05_1;Hautbois;Alexei Ogrintchouk;Bohuslav Martinu ;Concerto for Oboe and Small Orchestra, H. 353;FR;Online
2022_11_03_04_1;Piano;Jean-François Heisser;Johannes Brahms;Concerto for piano and orchestra No.1 in D minor;FR;A post-produire (Olivier)
2021_02_11_03;Trombone;Jacques Mauger;Launy Grøndahl;Concerto for Trombone and Piano, 1st and 2nd movement;EN;Online
2021_02_09_01;Trombone;Jacques Mauger;Henri Tomasi;Concerto for Trombone and Piano, 1st and 2nd movement;EN;Online
2022_10_31_01_1;Alto;Lars Anders Tomter;William Walton;Concerto for Viola and Orchestra;EN;A post-produire (Olivier)
2022_11_02_05_1;Alto;Lars Anders Tomter;William Walton;Concerto for Viola and Orchestra;EN;A post-produire (Olivier)
2022_10_31_03_1;Alto;Lars Anders Tomter;William Walton;Concerto for Viola and Orchestra;EN;A post-produire (Olivier)
2022_08_02_05_1;Harpe;Marie-Pierre Langlamet;Georg Friedrich Handel;concerto in B_Dur for harp and orchestro 1er mvt;EN;En cours édito (Iris)
2021_10_29_04_1;Violoncelle;Marc Coppey;Luigi Boccherini;Concerto in B-Flat Major, 1st movement;FR;Online
2022_04_07_02_1;Violon;Barnabás Kelemen;Johannes Brahms;Concerto in D Major, Op. 77;EN;Online
2021_02_10_06;Trombone;Jacques Mauger;Georg Friedrich Handel;Concerto in F minor;FR;Online
2021_02_09_02;Trombone;Jacques Mauger;Georg Friedrich Handel;Concerto in F minor ;FR;Online
2021_11_01_02_1;Violoncelle;Anne Gastinel;Joseph Haydn;Concerto No. 1 in C Major;FR;Online
2021_10_26_06_1;Violoncelle;Marc Coppey;Dmitri Shostakovich;Concerto No. 1 in E-Flat Major;EN;Online
2021_04_14_03;Clarinette;Sharon Kam;Carl Maria von Weber;Concerto No. 1, Op. 73, 1st movement;EN;Online
2021_11_01_03_1;Violoncelle;Anne Gastinel;Joseph Haydn;Concerto No. 2 in D Major;FR;Online
2021_10_26_05_1;Violoncelle;Marc Coppey;Joseph Haydn;Concerto No. 2 in D major, Op. 101, 1st movement;EN;Online
2021_11_01_01_1;Violoncelle;Anne Gastinel;Joseph Haydn;Concerto No. 2 in D Major, Op. 101, 1st movement;EN;Online
2021_10_29_02_1;Violon;Fried  Miriam;Wolfgang Amadeus Mozart;Concerto No. 4 in D Major;EN;Online
2021_10_26_03_1;Violon;Fried  Miriam;Wolfgang Amadeus Mozart;Concerto No. 5 in A Major, 1st movement;EN;Online
2022_08_02_04_1;Harpe;Marie-Pierre Langlamet;Georg Friedrich Handel;Concerto per organo HWV 294 (OP4. N°6);EN;En cours édito (Iris)
2022_10_26_03_1;Violon;Ning Feng;Niccolò Paganini;Concerto_No1;EN;En cours édito (Iris)
