Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
2023_02_08_01_01;Voix;Antoine PALLOC;Claude DEBUSSY;L'enfant prodigue;Anglais;
2022_07_22_03_2;Flute;Vincent Lucas;Ludwig van Beethoven;Leonora Overture No.3, Op.72b (orchestral excerpts);EN;Stand by
2021_04_14_07;Chant;François Le Roux;Claude Debussy;Les chevaux de bois;FR;Online
2021_04_14_08;Chant;François Le Roux;Isabelle Aboulker;L'inconstante ;FR;Online
2022_02_14_03_1;Chant;Margreet Honig;Claudio Monteverdi;L'Incoronazione di Poppea, Ottone's aria (E pur' io torno qui);EN;Online
2022_02_16_05_1;Chant;Maarten Koningsberger;Gaetano Donizetti;Linda di Chamounix, Linda's aria (Ah! tardai troppo);EN;Online
2022_04_13_08_1;Chant;Jean-Paul Fouchécourt;Henri Duparc;L'invitation au voyage;FR;Online
2022_03_26_01_1;Piano;Michel Béroff;Claude Debussy;L'Isle joyeuse;FR;Online
2020_10_30_3;Piano;Jean-François Heisser;Igor Stravinsky;L'oiseau de feu;FR;Online
2023_02_06_03_01;Voix;Antoine PALLOC;Jules MASSENET;MANON;Anglais;
2022_02_14_04_1;Chant;Margreet Honig;Jules Massenet;Manon, Manon's aria (Je marche sur tous les chemins);EN;Online
2022_07_22_05_1;Violon;Philippe Graffin;Fritz Kreisler;Marche miniature viennoise;FR;A post-produire (Olivier)
2022_07_22_01_2;Flute;Vincent Lucas;Johann Sebastian Bach;Mattheus Passion (orchestral excerpts);EN;Stand by
2022_08_02_03_1;Guitar;Tristan Manoukian;Agustín Barrios Mangoré;Mazurka Apasionada;FR;Stand by
2021_11_04_03_1;Violoncelle;Anne Gastinel;Eugène Ysaÿe;Meditation;FR;Online
2022_11_05_02_1;Piano;Jean-Frédéric Neuburger;Maurice Ravel;Miroirs;EN;A post-produire (Olivier)
2022_11_01_01_1;Piano;Jean-Frédéric Neuburger;Maurice Ravel;Miroirs;EN;A post-produire (Olivier)
2022_11_05_03_1;Piano;Jean-Frédéric Neuburger;Maurice Ravel;Miroirs;EN;A post-produire (Olivier)
2022_11_01_02_1;Piano;Jean-Frédéric Neuburger;Maurice Ravel;Miroirs;EN;A post-produire (Olivier)
2022_03_26_05_1;Piano;Michel Béroff;Maurice Ravel;"Miroirs No.3, ""Une barque sur l'océan""";FR;Online
2022_02_23_01_1;Violon;Olivier Charlier;Lili Boulanger;Nocturne & Cortège;EN;Online
2021_04_14_04;Chant;François Le Roux;Claude Debussy;Nuit d'étoile;FR;Online
2020_10_29_1;Hautbois;Céline Moinet;Richard Strauss;Oboe Concerto in D Major, Op. 144;EN;Online
2022_02_15_06_1;Hautbois;Alexei Ogrintchouk;Richard Strauss;Oboe Concerto, TrV 292, 1st movement;EN;Online
2020_10_29_3_1;Hautbois;Céline Moinet;Francis Poulenc;Oboe Sonata;FR;Online
2022_02_15_04_1;Hautbois;Alexei Ogrintchouk;Antonio Vivaldi;Oboe Sonata in C minor, RV 53, 1st & 2nd movement;FR;Online
2022_07_29_06_1;Violon;Gilles Apap;;Old Timmy musique;FR;A post-produire (Olivier)
2021_02_10_05;Trombone;Jacques Mauger;Vincent Persichetti;Parable for Solo Trombone, Op. 133;FR;Online
2022_03_26_06_1;Piano;Michel Béroff;Johann Sebastian Bach;Partita in B-flat major, BWV 825, movement 1-4;FR;Online
2021_02_13_01;Piano;Jacques Rouvier;Johann Sebastian Bach;Partita No. 2;FR;Online
2021_10_26_02_1;Violon;Fried  Miriam;Johann Sebastian Bach;Partita No. 2 in D Minor;EN;Online
2020_10_28_2;Violon;Boris Garlitsky;Johann Sebastian Bach;Partita No. 2, 5th movement;EN;Online
2021_10_26_01_1;Violon;Fried  Miriam;Johann Sebastian Bach;Partita No. 3 in E Major;EN;Online
2020_10_6_4;Piano;Claire-Marie Le Guay;Johann Sebastian Bach;Partita No. 6;FR;Online
2022_11_04_03_1;Alto;Lars Anders Tomter;Johann Sebastian Bach;Partita No.1 in B minor BWV1002;EN;En cours édito (Iris)
2022_11_04_05_1;Alto;Lars Anders Tomter;Johann Sebastian Bach;Partita No.2 in D major BWV 1004;EN;En cours édito (Iris)
2020_11_5_2;Flute;Philippe Bernold;;Philipe Bernold;FR;Problème/ tech issue
2020_11_5_1;Flute;Philippe Bernold;;Philipe Bernold;FR;Problème/ tech issue
2022_11_03_02_1;Piano;Jean-Frédéric Neuburger;Maurice Ravel;Piano concerto in G major;EN;A post-produire (Olivier)
2020_10_6_3;Piano;Claire-Marie Le Guay;Maurice Ravel;Piano Concerto in G major;FR;Online
2022_04_05_01_1;Piano;Denis Pascal;Piotr Ilitch Tchaïkovski;Piano Concerto No. 1 in B♭ minor, Op. 23, 2nd movement;FR;Online
2020_10_30_4;Piano;Jean-François Heisser;Frédéric Chopin;Piano Concerto No. 1 in E Minor, Op. 11, 1st movement;FR;Online
2021_04_17_04;Piano;Till Fellner;Wolfgang Amadeus Mozart;Piano Concerto No. 23 in A Major, 2nd movement;EN;Online
2022_04_04_05_1;Piano;Denis Pascal;Ludwig van Beethoven;Piano Concerto No. 3, Op. 37, 1st movement;FR;Online
2021_10_25_01_1;Piano;Dalberto Michel;Ludwig van Beethoven;Piano Concerto No. 4 in G Major, Op. 58, part 1;EN;Online
2021_10_25_01_3;Piano;Dalberto Michel;Ludwig van Beethoven;Piano Concerto No. 4 in G Major, Op. 58, part 2;EN;Online
2021_10_25_01_2;Piano;Dalberto Michel;Ludwig van Beethoven;Piano Concerto No. 4 in G Major, Op. 58, part 3;EN;Online
2023_02_18_01_1;Piano;Aleksandar MADZAR;Pyotr TCHAIKOVSKY;Piano Concerto No.1;Anglais;ÉDITO Hyacinthe
2023_02_18_02_1;Piano;Aleksandar MADZAR;Pyotr TCHAIKOVSKY;Piano Concerto No.1;Anglais;ÉDITO Hyacinthe
2022_08_03_06_1;Piano;Johan Schmidt;Frédéric Chopin;Piano Concerto No.1, Op.11 1er Mvt;FR;A post-produire (Olivier)
2023_02_18_03_1;Piano;Aleksandar MADZAR;Béla BARTÓK;Piano Concerto No.2;Anglais;ÉDITO Hyacinthe
2022_11_03_03_1;Piano;Jean-Frédéric Neuburger;Alban Berg;Piano Sonata;EN;A post-produire (Olivier)
2022_07_21_03_1;Piano;Claire Desert;Ludwig van Beethoven;Piano sonata g-mole. 2 Andantino;FR;A post-produire (Olivier)
2022_03_27_02_1;Piano;Michel Béroff;Franz Schubert;Piano Sonata in A major D. 664, Op. posth. 120;FR;Online
2021_02_12_04;Piano;Jacques Rouvier;Franz Schubert;Piano Sonata in A Major, Op. 120;EN;Online
2022_04_05_02_1;Piano;Denis Pascal;Franz Schubert;Piano Sonata in A minor, Op. 143, D. 784;FR;Online
2020_10_6_5;Piano;Claire-Marie Le Guay;Franz Schubert;Piano Sonata in B-flat major, 2nd movement;FR;Online
2022_07_21_02_1;Piano;Claire Desert;Aleksandr Scriabin;Piano Sonata N°2;FR;A post-produire (Olivier)
2021_04_16_06;Piano;Till Fellner;Ludwig van Beethoven;Piano sonata No. 17, Op. 31, part 1;EN;Online
2021_11_05_04_1;Piano;Dénes Várjon;Ludwig van Beethoven;Piano Sonata No. 23 in F Minor, Op. 57;EN;Online
2022_02_11_05_1;Piano;Marie-Josèphe Jude;Ludwig van Beethoven;"Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"", 1st movement";FR;Online
2021_11_05_01_1;Piano;Dénes Várjon;Ludwig van Beethoven;Piano Sonata No. 23 in F Minor, Op. 57, 1st movement, part 1;EN;Online
2021_11_05_01_2;Piano;Dénes Várjon;Ludwig van Beethoven;Piano Sonata No. 23 in F Minor, Op. 57, 1st movement, part 2;EN;Online
2021_02_12_08;Piano;Jacques Rouvier;Ludwig van Beethoven;Piano Sonata No. 23 in F Minor, Op. 57, 2nd movement;FR;Online
2021_02_12_03;Piano;Jacques Rouvier;Frédéric Chopin;Piano Sonata No. 3 in B Minor, Op. 58;FR;Online
2021_11_05_02_1;Piano;Dénes Várjon;Ludwig van Beethoven;Piano Sonata No. 3 in C Major, Op. 2, 1st movement, part 1;EN;Online
2021_11_05_02_2;Piano;Dénes Várjon;Ludwig van Beethoven;Piano Sonata No. 3 in C Major, Op. 2, 1st movement, part 2;EN;Online
2021_11_05_02_3;Piano;Dénes Várjon;Ludwig van Beethoven;Piano Sonata No. 3 in C Major, Op. 2, 1st movement, part 3;EN;Online
2022_04_04_01_1;Piano;Denis Pascal;Ludwig van Beethoven;Piano Sonata No. 30 in E major, Op. 109, 1st movement;FR;Online
2022_02_21_01_1;Piano;Finghin Collins;Ludwig van Beethoven;Piano Sonata No. 30 in E major, Op.109;EN;Online
2020_10_30_2;Piano;Jean-François Heisser;Sergueï Prokofiev;Piano Sonata No. 7 in B-Flat Major, Op. 83;FR;Online
2022_04_04_04_1;Piano;Denis Pascal;Ludwig van Beethoven;Piano Sonata No. 7, Op. 10;FR;Online
2022_10_28_05_1;Piano;Dmitri Alexeev;Ludwig van Beethoven;Piano Sonata No.13;EN;Online
2023_02_17_04_01;Piano;Alexandar Madzar;Ludwig van BEETHOVEN;Piano Sonata No.16;Anglais;
2022_03_27_01_1;Piano;Michel Béroff;Wolfgang Amadeus Mozart;Piano Sonata No.17 in B-flat major, K.570;EN;Online
2023_02_17_05_01;Piano;Alexandar Madzar;Ludwig van BEETHOVEN;Piano Sonata No.2;Anglais;
2022_10_28_04_1;Piano;Dmitri Alexeev;Frédéric Chopin;Piano Sonata No.3;EN;Online
2022_08_04_06_1;Piano;Jonas Vitaud;Ludwig van Beethoven;Piano Sonata No.3, Op.2 No.3;FR;A post-produire (Olivier)
2022_10_28_01_1;Piano;Dmitri Alexeev;Aleksandr Scriabin;Piano Sonata No.30;EN;Online
2022_11_05_01_1;Piano;Jean-Frédéric Neuburger;Ludwig van Beethoven;Piano Sonata No.32;EN;A post-produire (Olivier)
2022_11_01_04_1;Piano;Jean-François Heisser;Ludwig van Beethoven;Piano Sonata No.4;FR;A post-produire (Olivier)
2023_02_10_02_01;Piano;Hugh TINNEY;Wolfgang Amadeus MOZART;Piano Sonata No.9 in D major;Anglais;ÉDITO Hyacinthe
2023_02_10_02_02;Piano;Hugh TINNEY;Wolfgang Amadeus MOZART;Piano sonata No.9 in D major;Anglais;ÉDITO Hyacinthe
2022_07_21_01_1;Piano;Claire Desert;Ludwig van Beethoven;piano sonate vol 1. 1er Mvt;FR;A post-produire (Olivier)
2022_10_23_04_1;Piano;Nelson Goerner;Ludwig van Beethoven;Piano_Concerto_No.3;EN;Online
2022_10_22_02_1;Piano;Nelson Goerner;Ludwig van Beethoven;Piano_Concerto_No.3;EN;Online
2022_02_21_03_1;Piano;Finghin Collins;Ludwig van Beethoven;Piano_Sonata_n°30;EN;En cours édito (Iris)
2022_10_23_02_1;Piano;Nelson Goerner;Ludwig van Beethoven;Piano_Sonata_No.31;EN;Online
2022_03_27_03_1;Flute;Philippe Bernold;Jacques Ibert;Piece for Solo Flute;FR;Online
2020_10_3_5;Flute;Philippe Bernold;Jacques Ibert;Piece for Solo Flute;FR;Online
2021_11_03_02_1;Violon;Martin Beaver;Ernest Chausson;Poème;EN;Online
2022_02_16_03_1;Violon;Augustin Dumay;Ernest Chausson;Poème, Op. 25;EN;Online
2022_07_22_04_2;Violon;Philippe Graffin;Ernest Chausson;Poème, Op.25;EN;Online
2022_07_22_04_1;Violon;Philippe Graffin;Ernest Chausson;Poème, Op.25;EN;Online
2023_02_07_01_01;Violoncelle;Sung-won YANG;Frédéric CHOPIN;Polonaise Brillante ;Anglais;
2023_02_16_02_1;Violon;Alissa MARGULIS;Henri WIENIAWSKI;Polonaise Brillante in D Major;Anglais;ÉDITO Hyacinthe
2023_02_15_05_1;Violon;Alissa MARGULIS;Henri WIENIAWSKI;Polonaise Brillante in D Major;Anglais;ÉDITO Hyacinthe
2022_02_11_02_1;Piano;Marie-Josèphe Jude;Frédéric Chopin;Polonaise-Fantaisie in A flat major, Op. 61;FR;Online
2020_10_30_6_2;Piano;Jean-François Heisser;Claude Debussy;Pour le piano, 3rd movement;FR;Online
2020_10_30_6_1;Piano;Jean-François Heisser;Johann Sebastian Bach;Prelude & Fugue in G Major;FR;Online
2022_07_22_03_1;Flute;Vincent Lucas;Claude Debussy;Prélude à l'après-midi d'un faune (orchestral excerpts);EN;Stand by
2022_10_23_07_1;Piano;Nelson Goerner;Johann Sebastian Bach;Prelude and Fugue in A major;EN;Online
2021_11_06_01_1;Piano;Dénes Várjon;Johann Sebastian Bach;Prelude and Fugue in C-Sharp Major;EN;Online
2021_04_17_03&04;Piano;Till Fellner;Johann Sebastian Bach;Prelude and Fugue, No. 17 in A-Flat Major;EN;Online
2022_03_26_03_1;Piano;Michel Béroff;Claude Debussy;Preludes 4 & 5;EN;Online
2023_02_17_06_01;Piano;Alexandar Madzar;Claude DEBUSSY;Préludes, Livre 1 et 2;Anglais;
2021_04_16_02;Clarinette;Sharon Kam;Claude Debussy;Première Rhapsodie;EN;Online
2021_04_14_05;Chant;François Le Roux;Claude Debussy;Regrets;FR;Online
2022_10_28_03_1;Piano;Dmitri Alexeev;Franz Liszt;Rhapsodie hongroise;EN;En cours édito (Iris)
2021_02_12_06;Piano;Jacques Rouvier;Béla Bartók;Romanian Dances 1 & 2, Op. 8A;EN;Online
2022_07_22_05_2;Violon;Philippe Graffin;Béla Bartók;Romanian Folk Dances;FR;A post-produire (Olivier)
2023_02_09_03_01;Voix;Antoine PALLOC;Charles GOUNOD;Romeo and Juliette;Anglais;
2023_02_17_02_01;Piano;Alexandar Madzar;Wolfgang Amadeus MOZART;Rondo in D major;Anglais;
2022_02_17_02_1;Violoncelle;Chu Yi-Bing;Antonín Dvořák;Rondo in G minor, Op. 94;EN;Online
2022_02_22_03_1;Piano;Finghin Collins;Frédéric Chopin;Scherzo No. 1 in B minor, Op. 20;EN;Online
2022_08_05_02_1;Piano;Isabelle Duha;Ludwig van Beethoven;Scherzo op 18;FR;A post-produire (Olivier)
2022_08_04_05_1;Piano;Jonas Vitaud;Frédéric Chopin;Scherzo Op.39;FR;A post-produire (Olivier)
2022_10_24_01_1;Piano;Dmitri Alexeev;Frédéric Chopin;Scherzo_No4;EN;A post-produire (Olivier)
2022_07_29_06_1;Violon;Gilles Apap;John Williams;Schindlers list list;EN;A post-produire (Olivier)
2022_07_27_03_1;Flute;Julien Beaudiment;Jacques Ibert;Scores featuring the flute;EN;Stand by
RIAM_Elgar_Sea_Pictures_Brennan;Chant;Mary Brennan;Edward Elgar;Sea Pictures, Op. 37: No. 3, A Sabbath Morning at Sea;EN;Online
2022_02_14_05_1;Chant;Margreet Honig;Georg Friedrich Handel;Serse, Serse's aria (Crude furie);EN;Online
2020_10_29_3_2;Hautbois;Céline Moinet;Benjamin Britten;Six Metamorphoses after Ovid, Op. 49;FR;Online
2022_07_30_01_1;Violon;Stéphanie-Marie Degand;Johann Sebastian Bach;Sonata 1 BWV 1001;FR;A post-produire (Olivier)
2021_10_27_03_1;Violoncelle;Marc Coppey;Claude Debussy;Sonata for Cello, 1st movement;EN;Online
2023_02_10_01_01;Piano;Hugh TINNEY;Frederic CHOPIN;Sonata for Piano No.2;Anglais;ÉDITO Hyacinthe
2023_02_10_01_02;Piano;Hugh TINNEY;Frederic CHOPIN;Sonata for Piano No.2;Anglais;ÉDITO Hyacinthe
2022_04_12_05_1;Violon;Gérard Poulet;Claude Debussy;Sonata for Violin and Piano in G Minor, CD 148;FR;Online
2022_04_13_01_1;Violon;Gérard Poulet;Maurice Ravel;Sonata for Violin and Piano No. 2 in G Major;FR;Online
2023_02_15_02_1;Alto;Gérard CAUSSÉ;César FRANCK;Sonata in A major for Viola and Piano;Anglais;
2022_10_22_01_1;Piano;Nelson Goerner;Domenico Scarlatti;Sonata in D minor;EN;Online
2021_02_17_01;Violon;Mihaela Martin;Robert Schumann;Sonata No. 1, Op. 105, 1st movement;EN;Online
2021_10_28_01_1;Piano;Dalberto Michel;Wolfgang Amadeus Mozart;Sonata No. 18 in D Major, 1st movement and 2nd movement;EN;Online
2021_10_28_01_2;Piano;Dalberto Michel;Wolfgang Amadeus Mozart;Sonata No. 18 in D Major, 3rd movement;EN;Online
2020_11_2_2;Violon;Boris Garlitsky;Johann Sebastian Bach;Sonata No. 2 in A minor, 1st movement;FR;Online
2020_11_2_3;Violon;Boris Garlitsky;Johann Sebastian Bach;Sonata No. 3;FR;Online
2020_10_28_6;Violon;Boris Garlitsky;Ludwig van Beethoven;Sonata No. 3 in E-flat Major, Op. 12, 1st movement;FR;Online
2021_02_13_03;Piano;Jacques Rouvier;Robert Schumann;Sonata No. 3, Op. 14, 1st movement;EN;Online
2021_04_13_01;Violon;Tedi Papavrami;Eugène Ysaÿe;Sonata No. 4, Op. 27;FR;Online
2021_10_28_04_1;Piano;Dalberto Michel;Wolfgang Amadeus Mozart;Sonata No. 9 in D Major, 1st and 2nd movement;FR;Online
2021_10_28_04_2;Piano;Dalberto Michel;Wolfgang Amadeus Mozart;Sonata No. 9 in D Major, 3rd movement;FR;Online
2022_11_04_01_1;Alto;Lars Anders Tomter;Johannes Brahms;Sonata No.1 in F minor;EN;En cours édito (Iris)
2021_10_30_01_1;Violon;Fried  Miriam;Francis Poulenc;Sonata, 1st movement;EN;Online
2022_10_22_03_2;Piano;Nelson Goerner;Ludwig van Beethoven;Sonata_No.32, part 2;EN;Online
2022_10_22_03_1;Piano;Nelson Goerner;Ludwig van Beethoven;Sonata_No.32, part 1;EN;Online
2022_10_23_06_1;Piano;Nelson Goerner;Ludwig van Beethoven;Sonata_No.32;EN;En cours édito (Iris)
2022_10_26_02_1;Violon;Ning Feng;Eugène Ysaÿe;Sonata_No.4;EN;En cours édito (Iris)
2022_10_24_03_1;Piano;Dmitri Alexeev;Sergueï Prokofiev;Sonata_No2;EN;A post-produire (Olivier)
2022_10_24_04_1;Piano;Dmitri Alexeev;Frédéric Chopin;Sonata_No3;EN;A post-produire (Olivier)
2023_02_07_05_01;Violon;Dmitry SITKOVESKY;Ludwig van BEETHOVEN;Sonatas for Piano and Violin No.8;Anglais;
2023_02_06_02_01;Violon;Dmitry Sitkovetsky;Ludwig van BEETHOVEN;Sonatas for Piano and Violin No.8;Anglais;
2023_02_08_06_01;Violoncelle;Sung-won YANG;Rita STROHL;Sonate dramatique;Anglais;
2022_10_25_05_1;Violon;Ning Feng;Johann Sebastian Bach;Sonate et Partita ;EN;En cours édito (Iris)
2022_07_20_02_1;Piano;Akiko Ebi;Robert Schumann;Sonate no2 op 22 2e 3e movement;FR;Problème/ tech issue
2021_11_03_03_1;Violoncelle;Anne Gastinel;Johannes Brahms;Sonatensatz, Scherzo;EN;Online
2021_02_12_05;Piano;Jacques Rouvier;Maurice Ravel;Sonatine;EN;Online
2022_10_26_05_2;Flute;Davide Formisano;Henri Dutilleux;Sonatine;EN;A post-produire (Olivier)
2022_10_26_05_1;Flute;Davide Formisano;Henri Dutilleux;Sonatine;EN;A post-produire (Olivier)
2020_10_3_6;Flute;Philippe Bernold;Henri Dutilleux;Sonatine for flute and piano;EN;Online
2022_08_03_01_2;Piano;Johan Schmidt;Maurice Ravel;Sonatine, I. Modéré II. Mouvement de Menuet;EN;A post-produire (Olivier)
2022_07_28_01_1;Piano;Anne-Lise Gastaldi;Franz Liszt;Sonetto 104 Del Petrarca;FR;A post-produire (Olivier)
2022_10_27_02_2;Flute;Davide Formisano;Sergueï Prokofiev;Sonota for Flute Violon and Piano;EN;A post-produire (Olivier)
2022_10_27_02_1;Flute;Davide Formisano;Sergueï Prokofiev;Sonota for Flute Violon and Piano;EN;A post-produire (Olivier)
2022_02_10_04_1;Musique de chambre;Clive Greensmith;Claude Debussy;String Quartet in G minor, 1st movement;EN;Online
2022_02_10_05_1;Musique de chambre;Clive Greensmith;Claude Debussy;String Quartet in G minor, 3rd movement;EN;Online
2020_11_4_3_1;Musique de chambre;Isabel Charisius;Franz Schubert;String Quartet No. 14, 1st movement;EN;Online
2022_04_06_02_3;Musique de chambre;Günter Pichler;Johannes Brahms;String Quartet No. 2 in A minor, 1st & 2nd movement;EN;Online
2022_04_06_02_1;Musique de chambre;Günter Pichler;Johannes Brahms;String Quartet No. 2 in A minor, 1st movement;EN;Online
2022_04_06_02_2;Musique de chambre;Günter Pichler;Johannes Brahms;String Quartet No. 2 in A minor, 1st movement;EN;Online
2022_02_10_06_1;Musique de chambre;Clive Greensmith;Joseph Haydn;String Quartet No. 52 in E♭ major, Op. 64, No. 6, 2nd and 3rd movement;EN;Online
2021_02_18_01;Alto;Isabel Charisius;Johannes Brahms;String Sextet No. 1 in B-flat Major, Op. 18, 2nd movement;EN;Online
2022_10_23_05_1;Piano;Nelson Goerner;Claude Debussy;Studies;EN;Online
2022_07_20_04_1;Piano;Akiko Ebi;Sergueï Rachmaninov;Study for piano op 39 (maybe op 33);EN;A post-produire (Olivier)
2022_11_01_06_1;Piano;Jean-François Heisser;Claude Debussy;Suite Bergamasque;FR;A post-produire (Olivier)
2020_10_5_4;Violoncelle;Marc Coppey;Igor Stravinsky;Suite italienne;EN;Online
2022_04_07_05_1;Alto;Nathan Braude;Johann Sebastian Bach;Suite No. 3 in C Major, 1st movement;EN;Online
2021_11_04_01_1;Violoncelle;Anne Gastinel;Johann Sebastian Bach;Suite No. 3 in C major, 4th movement;EN;Online
2021_11_04_02_1;Violoncelle;Anne Gastinel;Johann Sebastian Bach;Suite No. 3 in C major, 6th movement;EN;Online
2021_04_13_05;Violoncelle;Jens Peter Maintz;Johann Sebastian Bach;Suite No. 3, Courante and Sarabande;EN;Online
2023_02_08_05_01;Violoncelle;Sung-won YANG;Johann Sebastian BACH;Suite No.6 in D major;Anglais;
2021_04_17_01;Piano;Till Fellner;Robert Schumann;Symphonic Etudes Op. 13, part 1;EN;Online
2021_04_13_02;Violon;Tedi Papavrami;Edouard Lalo;Symphonie espagnole, finale;FR;Online
2022_02_23_05_1;Violon;Olivier Charlier;Edouard Lalo;Symphonie espagnole, Op. 21;EN;Online
2021_10_29_01_1;Violon;Fried  Miriam;Edouard Lalo;Symphonie Espagnole, version 2;EN;Online
2022_07_22_02_2;Flute;Vincent Lucas;Johannes Brahms;Symphony n°4 (orchestral excerpts);EN;Stand by
2023_02_06_06_01;Voix;Antoine PALLOC;Felix MENDELSSOHN;Symphony No.2;Anglais;
2022_07_22_03_3;Flute;Vincent Lucas;Gustav Mahler;Symphony No.9 (orchestral excerpts);EN;Stand by
2022_02_21_02_1;Piano;Finghin Collins;Piotr Ilitch Tchaïkovski;The Seasons, op. 37b, January, February, March;EN;Online
2022_02_22_01_1;Piano;Finghin Collins;Piotr Ilitch Tchaïkovski;The Seasons, op. 37b, July, August, Septembre;EN;Online
2022_02_22_02_1;Piano;Finghin Collins;Piotr Ilitch Tchaïkovski;The Seasons, op. 37b, Octobre, Novembre, Decembre;EN;Online
2022_02_21_05_1;Piano;Finghin Collins;Piotr Ilitch Tchaïkovski;The_Seasons;EN;En cours édito (Iris)
2022_04_05_03_3;Musique de chambre;Günter Pichler;Piotr Ilitch Tchaïkovski;Trio in A minor, Op. 50, 1st movement, Part 1;EN;Online
2022_04_06_01_1;Musique de chambre;Günter Pichler;Piotr Ilitch Tchaïkovski;Trio in A minor, Op. 50, 1st movement, Part 2;EN;Online
2022_04_06_01_2;Musique de chambre;Günter Pichler;Piotr Ilitch Tchaïkovski;Trio in A minor, Op. 50, 1st movement, Part 3;EN;Online
2022_04_05_03_1;Musique de chambre;Günter Pichler;Piotr Ilitch Tchaïkovski;Trio in A minor, Op. 50, 2nd movement, Part 1;EN;Online
2022_04_05_03_2;Musique de chambre;Günter Pichler;Piotr Ilitch Tchaïkovski;Trio in A minor, Op. 50, 2nd movement, Part 2;EN;Online
2022_11_03_01_1;Piano;Jean-Frédéric Neuburger;Richard Wagner / Franz Liszt;Tristan and Isolde / Mort d'Isolde, Franz Liszt's transcription;EN;A post-produire (Olivier)
2022_04_13_07_1;Chant;Jean-Paul Fouchécourt;Gabriel Fauré;Tristesse, No. 2, Op. 6;FR;Online
2021_02_17_02;Violon;Mihaela Martin;Maurice Ravel;Tzigane;FR;Online
2022_02_08_02_1;Violon;György Pauk;Maurice Ravel;Tzigane;EN;Online
2022_03_28_01_1;Flute;Philippe Bernold;Carl Reinecke;Undine Sonata in E Minor, Op. 167, 1st movement;EN;Online
2022_03_28_01_2;Flute;Philippe Bernold;Carl Reinecke;Undine Sonata in E Minor, Op. 167, 2nd movement;EN;Online
2021_10_28_05_1;Piano;Dalberto Michel;Maurice Ravel;Valses nobles et sentimentales, part 1;FR;Online
2021_10_28_05_2;Piano;Dalberto Michel;Maurice Ravel;Valses nobles et sentimentales, part 2;FR;Online
2022_07_23_03_1;Violoncelle;Chu Yi-Bing;Ludwig van Beethoven;Variation for piano and violoncelle;;En cours édito (Iris)
2022_04_12_03_1;Violoncelle;Alexander Chaushian;Piotr Ilitch Tchaïkovski;Variations on a Roccoco Theme;EN;Online
2022_02_11_03_1;Piano;Marie-Josèphe Jude;Johannes Brahms;Variations on an Original Theme, Op. 21 No.1;FR;Online
2021_02_16_04;Alto;Isabel Charisius;Franz Anton Hoffmeister;Viola Concerto in D major, 2nd and 3rd movement;EN;Online
2022_04_08_02_1;Alto;Nathan Braude;Karl Stamitz;Viola Concerto in D Major, Op. 1;EN;Online
2021_02_16_01;Alto;Isabel Charisius;Béla Bartók;Viola Concerto, 2nd and 3rd movement;EN;Online
2022_02_16_02_1;Violon;Augustin Dumay;Piotr Ilitch Tchaïkovski;Violin Concerto in D major, Op. 35;FR;Online
2021_11_03_01_1;Violon;Martin Beaver;Piotr Ilitch Tchaïkovski;Violin Concerto in D Major, Op. 35, part 1;EN;Online
2021_11_03_01_2;Violon;Martin Beaver;Piotr Ilitch Tchaïkovski;Violin Concerto in D Major, Op. 35, part 2;EN;Online
2021_10_30_03_1;Violon;Fried  Miriam;Johannes Brahms;Violin Concerto in D Major, Op. 77;EN;Online
2020_10_28_4_1;Violon;Boris Garlitsky;Johannes Brahms;Violin Concerto in D Major, Op. 77;FR;Online
2020_11_2_1;Violon;Boris Garlitsky;Johannes Brahms;Violin Concerto in D Major, Op. 77;FR;Online
2021_10_30_02_1;Violon;Fried  Miriam;Jean Sibelius;Violin Concerto in D minor;EN;Online
2022_10_27_04_1;Violon;Ning Feng;Jean Sibelius;Violin Concerto in D Minor;EN;A post-produire (Olivier)
2021_02_09_06;Violon;Pavel Vernikov;Jean Sibelius;Violin Concerto in D Minor, Op. 47, 1st movement;FR;Online
2021_02_10_01;Violon;Pavel Vernikov;Jean Sibelius;Violin Concerto in D Minor, Op. 47, 1st movement;FR;Online
2021_02_09_07;Violon;Pavel Vernikov;Max Bruch;Violin Concerto No. 1;FR;Online
2021_02_11_06;Violon;Svetlana Makarova;Niccolò Paganini;Violin Concerto No. 1 in D major, Op. 6, 1st movement;FR;Online
2021_02_10_03;Violon;Pavel Vernikov;Niccolò Paganini;Violin Concerto No. 1, Op. 6, 1st movement;FR;Online
2022_02_09_02_1;Violon;György Pauk;Béla Bartók;Violin Concerto No. 1, Sz. 36, 1st, 2nd movements;EN;Online
2022_02_09_06_1;Violon;György Pauk;Béla Bartók;Violin Concerto No. 1, Sz. 36, BB 48a, 2nd movement;EN;Online
2020_11_4_2;Violon;Boris Garlitsky;Sergueï Prokofiev;Violin Concerto No. 2 in G minor, Op. 63, 1st movement;FR;Online
2022_04_09_02_1;Violon;Barnabás Kelemen;Béla Bartók;Violin Concerto No. 2, BB 117, 1st movement, part 2;EN;Online
2022_04_09_03_1;Violon;Barnabás Kelemen;Béla Bartók;Violin Concerto No. 2, BB 117, 3rd movement, part 3;EN;Online
2022_04_07_01_1;Violon;Barnabás Kelemen;Béla Bartók;Violin Concerto No. 2, BB 117, part 1;EN;Online
